,Brand,Property,City,Brand Category,IG Post / Carousel,IG Highlight,IG Reels,Google Maps,New System,,
11,Four Seasons,Four Seasons Bangkok 🗝️🗝️,Bangkok,A Ultra Luxury,SOON,SOON,SOON,SOON,Y,,
12,Four Seasons,Four Seasons Chiang Mai 🗝️🗝️🗝️,Chiang Mai,A Ultra Luxury,,https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTc3MzkwNjY0NDcyNDc1?igshid=ZWI2YzEzYmMxYg==,"https://www.instagram.com/reel/C7PcikoSLhz/?utm_source=ig_web_copy_link  
https://www.instagram.com/reel/CbTc9abhgq9/?igshid=ZWI2YzEzYmMxYg== ",https://maps.app.goo.gl/bAN7A17VU786wf197,,,
13,Four Seasons,Four Seasons Jakarta 🗝️🗝️,Jakarta,A Ultra Luxury,,https://www.instagram.com/stories/highlights/18002049932577737/?hl=en,https://www.instagram.com/reel/C7kI6R6BRT2/?hl=en,https://maps.app.goo.gl/1rMvosLdyCyueRtZ9?g_st=ic,,,
14,Four Seasons,Four Seasons Kuala Lumpur 🗝️,Kuala Lumpur,A Ultra Luxury,"https://www.instagram.com/p/DIL7oDGJgvj/?igsh=cHdkaGt4OHB4cGlk 
https://www.instagram.com/p/DIL781bJibj/?igsh=MXM4a3VzYmoxd3JrNQ== 
https://www.instagram.com/p/DIQolmWJdNC/?igsh=cTR5NTE4ZHZpenc= 
https://www.instagram.com/p/DIQqsz_peoR/?igsh=NmptczBhcG8wbW5j ",https://www.instagram.com/s/aGlnaGxpZ2h0OjE4MDY5MTYxMTA3OTAwMTk2?igsh=MWNtNXFwYnkydTEwZw==,"https://www.instagram.com/reel/DINQyjJSw0T/?igsh=MXVja2cwNHFnYjIyNQ== 
https://www.instagram.com/reel/DIPA_x6Tuwv/?igsh=MXhlNHYxbzUybm93NQ== 
https://www.instagram.com/reel/DIRhonXzEDJ/?igsh=MWR1OXgzd281cHI4dg== 
https://www.instagram.com/reel/DIS4RMKpvVy/?igsh=NG94cjBwMzVpa2Yw ",https://maps.app.goo.gl/sBHADdbLrALpiD7B7 ,,,
15,Four Seasons,Four Seasons San Francisco at Embarcadero 🗝️🗝️,San Francisco,A Ultra Luxury,"https://www.instagram.com/p/DMP-JBVRCgU/?igsh=bW81Y2I5YXA1NjU2
https://www.instagram.com/p/DMUgWFduQTU/?igsh=MXRiNWszZHhvam10aA== ",https://www.instagram.com/stories/highlights/18520954879009460/,"https://www.instagram.com/reel/DMQBlJ2xrjE/?igsh=aThlOXBhdHZpbjVm
https://www.instagram.com/reel/DMUgnJauNaW/?igsh=amNzZ2pjNXQ5Zndi 
https://www.instagram.com/reel/DMUf_saOJrB/?igsh=dGx6dGV6d3F2dzEz ",https://maps.app.goo.gl/gJZ5nPXEhsM3X8mP9,,,
16,Four Seasons,Four Seasons Suzhou,Suzhou,A Ultra Luxury,https://www.instagram.com/p/DQUOCgTiS4U/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,https://www.instagram.com/stories/highlights/18072881354244669/,https://www.instagram.com/reel/DQWzAWdiUfH/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,https://maps.app.goo.gl/1Ctdst3aBpoGtsAi9,Y,,
17,Mandarin Oriental,Mandarin Oriental Macau,Macau,A Ultra Luxury,"https://www.instagram.com/p/DKXPif4JVQB/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== 
https://www.instagram.com/p/DKXDKqjpFk5/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==    
https://www.instagram.com/p/DKVsn9JS2gD/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ",https://www.instagram.com/stories/highlights/18061899092142416/,"https://www.instagram.com/reel/DKXD4IqJDK5/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
https://www.instagram.com/reel/DKXAl-2JJ08/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== 
https://www.instagram.com/reel/DKW_lMrJ_T2/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ",https://maps.app.goo.gl/ws7LvyNMDMn1TusQ8,,,
18,Mandarin Oriental,Mandarin Oriental Singapore 🗝️,Singapore,A Ultra Luxury,"https://www.instagram.com/p/DEHLpNdpbfW/?igsh=MTFlZHUyZDc5dTNjYw==
https://www.instagram.com/p/DK4aE_xplJ0/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== 
https://www.instagram.com/p/DK3ySV_p1Kb/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ",https://www.instagram.com/s/aGlnaGxpZ2h0OjE4MDE2MDE1NTI2NDM4MTI1?igsh=MTYzMXZleTQ5Mmk4MA==,"https://www.instagram.com/reel/DDkufnzzPTQ/?igsh=MWFsZXBnanl2M2Rkdg==
https://www.instagram.com/reel/DK4aNjzJBvG/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== 
https://www.instagram.com/reel/DK4Zh-wJ0TM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ",https://maps.app.goo.gl/DPaSAMATn8vVPqQWA,,,
19,Mandarin Oriental,Mandarin Oriental Taipei 🗝️,Taipei,A Ultra Luxury,https://www.instagram.com/p/DFG1AnQTZJw/?igsh=MWZ2YmU3N3kwNTRzbg==,https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTAwNDQxNjMxMDY5Nzc5?igsh=MXh4czh0bXZzeWZmZg==,"https://www.instagram.com/reel/DB0qDSsydiz/?igsh=ZGV0aW44ZXFrOHl6
https://www.instagram.com/reel/DB1a9g-yENV/?igsh=MTVzdXhxanV5c2h4Zw== 
https://www.instagram.com/reel/DB4BwuxyMLV/?igsh=MWprYXA5enVwMHI5cw== 
https://www.instagram.com/reel/DCavfKMS5S4/?igsh=Zm50ZTIyM3UzNDZh ",https://maps.app.goo.gl/CFFm9jDDVdJe8kBj8,,,
20,Mandarin Oriental,Mandarin Oriental The Landmark,Hong Kong,A Ultra Luxury,https://www.instagram.com/p/DJLHH0ihf68/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,https://www.instagram.com/stories/highlights/17903741457168510/,https://www.instagram.com/reel/DJLIu6ThMVA/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,https://maps.app.goo.gl/kronyucCx6RQc8Wn6,,,
