#,Venue,City,Type,Level,Link,Google Maps,,
23,Shanghai Tavern ⭐️ - The Shanghai EDITION,Shanghai,Restaurant,Awesome,https://www.instagram.com/p/C2EYfF2rmH2/?img_index=1,https://maps.app.goo.gl/XBTWVhnhS43oZJ5A6?g_st=ic,,
24,T+T ⭐️,Taipei,Restaurant,Awesome,https://www.instagram.com/reel/DNawIx0J4W3/?igsh=N2ljODJyOWJ3cHVp,https://maps.app.goo.gl/Ncnxwp2q9LiF3oHY6?g_st=ic,,
25,Tanimoto ⭐️,Tokyo,Restaurant,Awesome,https://www.instagram.com/reel/DH3eottpp9g/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,https://maps.app.goo.gl/mGWFxyPynwcYDqpo7,,
26,Ya Ge ⭐️ - Mandarin Oriental Taipei,Taipei,Restaurant,Awesome,https://www.instagram.com/reel/DB1a9g-yENV/?igsh=MTVzdXhxanV5c2h4Zw==,https://maps.app.goo.gl/cU8emKCQD2mpuxRLA,,
27,85TD,Taipei,Restaurant,Fine,https://www.instagram.com/reel/DNODEk8JEsG/?igsh=MTR1MGgyaTB6dnNqZQ==,https://maps.app.goo.gl/KRZy1TnwvBRrHDq67?g_st=ic,,
28,AMUZ Gourmet,Jakarta,Restaurant,Fine,https://www.instagram.com/reel/DEmavaVpQ1V/?igsh=MWJ1aHpqaDN2anh4OA==,https://maps.app.goo.gl/ftdGD47oa3LXsQb19?g_st=ic,,
29,ANTE,Jakarta,Restaurant,Fine,https://www.instagram.com/reel/C880jO4yyjV/?igsh=cHRjanVrNzBiamM2,https://maps.app.goo.gl/9JiLtWMumPJHoCk16?g_st=ic ,,
30,FirePlay,Taipei,Restaurant,Fine,https://www.instagram.com/reel/DCMIGFqSadt/?igsh=ajY1bnNnNGF1OGhs,https://maps.app.goo.gl/MTFyy7PwSyBBE77i6?g_st=ic,,
31,GALA Bangkok,Bangkok,Restaurant,Fine,https://www.instagram.com/reel/DLt5kS1pT4U/?igsh=MXFuZG9vOXBwODZ1OA==,https://maps.app.goo.gl/r8JAbrvTpGicuzY28?g_st=ic,,
32,Lahnyai by Nusara,Bangkok,Restaurant,Fine,https://www.instagram.com/reel/DAn_3LNyIoM/?igsh=dzcwcm0zZmh6M2hn,https://maps.app.goo.gl/ReKXnT9GR3KV2LSj7?g_st=ic,,
33,Lapo Porsea,Jakarta,Restaurant,Fine,https://www.instagram.com/reel/DC_6fTtywxw/?igsh=MTd5amFzam00cWszaQ==,https://maps.app.goo.gl/e8RuoUFGUVz6hduE9?g_st=ic,,
34,Syrco BASÈ,Bali,Restaurant,Fine,https://www.instagram.com/reel/DEiFAndyY19/?igsh=NzJtYmMxbHlvb3hx,https://maps.app.goo.gl/zcgzMjRU2VbCkMxr7?g_st=ic,,
35,The Long Table at John Hardy Boutique & Gallery,Bali,Restaurant,Fine,https://www.instagram.com/reel/DH-lwCcJXXH/?igsh=MXltcmk1ZHlseDNj,https://maps.app.goo.gl/NebJZHVLh7zXzGzK8,,
36,1945 - Fairmont Jakarta,Jakarta,Stay,Fine,https://www.instagram.com/reel/C-LOGQzSVNQ/?igsh=aDJvZXI4MGtyZm51,https://maps.app.goo.gl/RrW698tMKyFiXbXb9?g_st=ic,,
37,Allegro - Grand Hyatt Xi'an,Xi'an,Stay,Fine,https://www.instagram.com/reel/DF_j8OkBtIy/?igsh=MTBvdG80MTl1anc0dQ==,https://maps.app.goo.gl/kh9KMLgPz1uX4UEW7?g_st=ic,,
38,Andaz Bar - Andaz Macau,Macau,Stay,Fine,https://www.instagram.com/reel/DJ-Vu7CzN_5/?utm_source=ig_web_copy_link,https://maps.app.goo.gl/baNYsxT7tSxFbrF47,,
